longitude,latitude,depth,density,variance
96.0,21.0,2.5,2.6070786,0.0095083315
96.5,21.0,2.5,2.6107173,0.0087326308
97.0,21.0,2.5,2.6139243,0.0086763344
97.5,21.0,2.5,2.6167101,0.0086598826
98.0,21.0,2.5,2.6092686,0.0086530692
98.5,21.0,2.5,2.6255668,0.0086502039
99.0,21.0,2.5,2.6302621,0.0086489471
99.5,21.0,2.5,2.6181577,0.0086483845
100.0,21.0,2.5,2.6430784,0.0086481246
100.5,21.0,2.5,2.6068186,0.0086480054
101.0,21.0,2.5,2.6467963,0.0086479534
101.5,21.0,2.5,2.6501692,0.0086479388
102.0,21.0,2.5,2.6544923,0.0086479531
102.5,21.0,2.5,2.6291796,0.0086480047
103.0,21.0,2.5,2.6167345,0.0086481232
103.5,21.0,2.5,2.6187337,0.0086483816
104.0,21.0,2.5,2.6537562,0.0086489413
104.5,21.0,2.5,2.6924379,0.0086501924
105.0,21.0,2.5,2.5935741,0.0086530485
105.5,21.0,2.5,2.6348477,0.0086598486
106.0,21.0,2.5,2.6322052,0.0086763086
106.5,21.0,2.5,2.6498477,0.0087326867
107.0,21.0,2.5,2.6365803,0.0095088548
96.0,21.5,2.5,2.60199,0.0087419261
96.5,21.5,2.5,2.6203686,0.0079901268
97.0,21.5,2.5,2.6505136,0.00792302
97.5,21.5,2.5,2.6543803,0.0079103103
98.0,21.5,2.5,2.6147483,0.0079028653
98.5,21.5,2.5,2.6229783,0.00789995
99.0,21.5,2.5,2.6539162,0.0078985044
99.5,21.5,2.5,2.6487816,0.0078979091
100.0,21.5,2.5,2.6635925,0.0078976037
100.5,21.5,2.5,2.6400967,0.0078974755
101.0,21.5,2.5,2.6531186,0.0078974134
101.5,21.5,2.5,2.6637148,0.0078973986
102.0,21.5,2.5,2.6583661,0.0078974133
102.5,21.5,2.5,2.6696312,0.0078974749
103.0,21.5,2.5,2.5988275,0.0078976031
103.5,21.5,2.5,2.6337359,0.0078979071
104.0,21.5,2.5,2.6340323,0.0078985025
104.5,21.5,2.5,2.6316817,0.0078999444
105.0,21.5,2.5,2.6412572,0.0079028642
105.5,21.5,2.5,2.6524739,0.0079103102
106.0,21.5,2.5,2.6565175,0.0079230769
106.5,21.5,2.5,2.6513207,0.0079902918
107.0,21.5,2.5,2.6556332,0.0087428148
96.0,22.0,2.5,2.6066125,0.0086845446
96.5,22.0,2.5,2.6742301,0.007920736
97.0,22.0,2.5,2.6541561,0.0078568355
97.5,22.0,2.5,2.6436323,0.0078460114
98.0,22.0,2.5,2.6808459,0.0078394042
98.5,22.0,2.5,2.6578655,0.007836735
99.0,22.0,2.5,2.6676532,0.0078353402
99.5,22.0,2.5,2.6345138,0.0078347618
100.0,22.0,2.5,2.6349457,0.0078344554
100.5,22.0,2.5,2.6448876,0.0078343275
101.0,22.0,2.5,2.673497,0.007834264
101.5,22.0,2.5,2.6405668,0.0078342493
102.0,22.0,2.5,2.6463708,0.0078342639
102.5,22.0,2.5,2.6407339,0.0078343271
103.0,22.0,2.5,2.6677593,0.007834455
103.5,22.0,2.5,2.7093275,0.0078347602
104.0,22.0,2.5,2.6965321,0.0078353392
104.5,22.0,2.5,2.646457,0.0078367306
105.0,22.0,2.5,2.6657748,0.0078394048
105.5,22.0,2.5,2.6472741,0.0078460111
106.0,22.0,2.5,2.642215,0.0078568855
106.5,22.0,2.5,2.6582748,0.0079208992
107.0,22.0,2.5,2.631885,0.0086855443
96.0,22.5,2.5,2.5769299,0.0086667652
96.5,22.5,2.5,2.6297984,0.0079063072
97.0,22.5,2.5,2.6542867,0.0078442298
97.5,22.5,2.5,2.6538445,0.007834019
98.0,22.5,2.5,2.6846252,0.0078278573
98.5,22.5,2.5,2.6494613,0.0078253331
99.0,22.5,2.5,2.6732788,0.0078240104
99.5,22.5,2.5,2.6432797,0.0078234475
100.0,22.5,2.5,2.6470251,0.0078231483
100.5,22.5,2.5,2.6479898,0.0078230209
101.0,22.5,2.5,2.6560025,0.0078229579
101.5,22.5,2.5,2.654233,0.007822943
102.0,22.5,2.5,2.6789225,0.0078229579
102.5,22.5,2.5,2.5983363,0.0078230205
103.0,22.5,2.5,2.6794581,0.007823148
103.5,22.5,2.5,2.6428981,0.007823446
104.0,22.5,2.5,2.6691287,0.0078240093
104.5,22.5,2.5,2.6631438,0.0078253283
105.0,22.5,2.5,2.6634835,0.007827856
105.5,22.5,2.5,2.649632,0.0078340145
106.0,22.5,2.5,2.6483155,0.0078442769
106.5,22.5,2.5,2.675356,0.0079064882
107.0,22.5,2.5,2.6101717,0.0086679026
96.0,23.0,2.5,2.5978014,0.0086562643
96.5,23.0,2.5,2.6426096,0.0078940678
