longitude,latitude,boug,isostatic,resboug
96,21,-42.499482,-23.801307,-15.625302
96.1,21,-46.642464,-30.855382,-18.483249
96.2,21,-47.152094,3.7920344,-17.707844
96.3,21,-36.481079,44.133805,-5.751794
96.4,21,-28.699742,5.4496188,3.3145778
96.5,21,-49.634961,70.167715,-16.335606
96.6,21,-71.540594,122.38299,-36.986992
96.7,21,-69.487789,59.160131,-33.67994
96.8,21,-66.318968,87.409138,-29.256872
96.9,21,-79.012204,27.690553,-40.695861
97,21,-93.387119,20.705336,-53.816528
97.1,21,-106.5689,11.666264,-66.762009
97.2,21,-116.49198,13.163626,-76.448788
97.3,21,-108.42321,51.574943,-68.143718
97.4,21,-98.582694,57.832575,-58.066901
97.5,21,-94.253345,65.296947,-53.501252
97.6,21,-92.446961,45.382098,-52.141376
97.7,21,-101.136,9.8214313,-61.276924
97.8,21,-109.97629,7.0272576,-70.563723
97.9,21,-109.83054,-3.1277832,-70.864482
98,21,-109.4219,-15.147271,-70.902351
98.1,21,-116.90276,-18.485422,-78.8582
98.2,21,-121.77871,11.795675,-84.209139
98.3,21,-104.37412,-11.667003,-67.279539
98.4,21,-85.201734,-27.651664,-48.582142
98.5,21,-76.919792,-38.403792,-40.775189
98.6,21,-73.403677,-14.510025,-37.088224
98.7,21,-90.375009,-21.740392,-53.888705
98.8,21,-107.67505,42.134277,-71.017896
98.9,21,-100.08475,-27.083494,-63.256745
99,21,-92.464214,-4.3476667,-55.465358
99.1,21,-107.30291,-36.652921,-70.214453
99.2,21,-122.98551,-17.626335,-85.807451
99.3,21,-125.6875,2.5125593,-88.419839
99.4,21,-126.93612,39.891905,-89.578858
99.5,21,-131.67498,20.82151,-94.228116
99.6,21,-134.54039,46.507205,-97.570698
99.7,21,-125.1079,20.334787,-88.61538
99.8,21,-115.06965,-2.9925676,-79.054301
99.9,21,-114.06975,0.47056503,-78.531573
100,21,-111.96605,-11.421375,-76.905045
100.1,21,-94.740792,5.2440578,-61.189176
100.2,21,-77.877794,6.4319393,-45.835568
100.3,21,-80.078579,11.172992,-49.545742
100.4,21,-84.755051,44.78859,-55.731603
100.5,21,-84.025692,57.946077,-56.511633
100.6,21,-83.720054,-19.899937,-57.96872
100.7,21,-90.399324,-21.652742,-66.410715
100.8,21,-97.619628,-22.491034,-75.393744
100.9,21,-99.011709,-25.226697,-78.54855
101,21,-100.06733,3.7243338,-81.366896
101.1,21,-103.92188,10.618435,-86.405954
101.2,21,-107.50657,46.557431,-91.175152
101.3,21,-108.83584,-21.838944,-93.68893
101.4,21,-109.64571,-44.146116,-95.683308
101.5,21,-109.0651,-12.999029,-96.287206
101.6,21,-108.34258,-11.156858,-93.994839
101.7,21,-109.43851,-11.245102,-93.520921
101.8,21,-109.51692,-11.099582,-92.029483
101.9,21,-102.28567,21.435785,-83.228385
102,21,-94.255373,14.910616,-73.62824
102.1,21,-87.829062,10.812206,-65.327113
102.2,21,-83.380754,27.576677,-59.003988
102.3,21,-87.021089,-10.101053,-60.769507
102.4,21,-91.297188,3.201371,-63.170789
102.5,21,-93.026235,22.857661,-63.02502
102.6,21,-93.670805,30.834405,-61.791846
102.7,21,-92.320478,-34.098617,-58.563775
102.8,21,-90.73683,-36.321783,-55.102383
102.9,21,-86.375642,24.245894,-48.863451
103,21,-83.303464,20.152304,-43.913529
103.1,21,-91.238614,17.479515,-49.563032
103.2,21,-100.73161,31.723124,-56.770382
103.3,21,-109.86161,-9.4288998,-63.614736
103.4,21,-116.52748,43.358708,-67.99496
103.5,21,-109.57919,-6.1234216,-58.761023
103.6,21,-99.870665,54.753162,-47.976798
103.7,21,-86.900852,23.944614,-33.931284
103.8,21,-76.243872,-29.778348,-22.198603
103.9,21,-82.170723,4.9381383,-27.049753
104,21,-91.799273,-13.423691,-35.602603
104.1,21,-111.79845,17.0734,-57.537195
104.2,21,-126.64402,-18.149821,-74.318181
104.3,21,-98.810482,0.95043754,-48.420059
104.4,21,-69.224215,-34.067168,-20.769208
104.5,21,-69.70538,55.247691,-23.185789
104.6,21,-72.732251,-17.197553,-28.938961
104.7,21,-60.929131,-15.023433,-19.862142
104.8,21,-45.532677,17.167789,-7.1919896
104.9,21,-22.278657,9.2955061,13.335729
105,21,-2.8805983,39.666146,30.007486
105.1,21,-16.366257,22.709569,14.169771
